Name,Score
My Healing Love,7.6
Wish You: Your Melody From My Heart,7.5
New Love Playlist,7.5
Heartstrings,7.5
Woman of 9.9 Billion,7.5
It's Okay to Be Sensitive Season 3,7.5
To the Beautiful You,7.5
Beautiful Days,7.5
Let Me Off the Earth,7.5
Bicheonmu,7.5
Radiant Office,7.5
Love Playlist Pilot,7.5
Witch's Love,7.5
Temperature of Love,7.5
Monstrous,7.5
Love for a Thousand More,7.5
Rugal,7.5
Star in My Heart,7.5
Tree of Heaven,7.5
Casting a Spell to You,7.6
Master of Study,7.5
Big Bet,7.5
Secret Investigation Record,7.5
A Model Family,7.5
Re-Feel,7.5
Failing in Love,7.5
Dae Jang Geum Is Watching,7.5
Wish Woosh 2,7.5
The Producers,7.5
Hellbound,7.5
Hunted,7.5
The Spies Who Loved Me,7.5
Potato Star 2013QR3,7.5
Yonder,7.5
Glass Slippers,7.5
Wonderful Life,7.5
4 Reasons Why I Hate Christmas,7.5
Woman with a Suitcase,7.5
Alone in Love,7.5
My Too Perfect Sons,7.5
After School: Lucky or Not,7.5
Risky Romance,7.5
Soul Plate,7.5
Angel Eyes,7.5
Cheer Up,7.5
The Return of Iljimae,7.5
Doubtful Victory,7.5
The Guilty Secret,7.5
Unicorn,7.5
Crazy for You,7.5
Heartbeat Broadcasting Accident,7.5
The Lover,7.5
To My Beautiful Woo Ri,7.5
The 3rd Ward,7.5
Be Strong Geum Soon,7.5
I Wanna Hear Your Song,7.5
Love Class,7.5
A Daughter Just Like You,7.5
I Need Romance Season 2,7.5
Record of Youth,7.5
100% Era,7.5
"Me too, Flower!",7.5
Father's House,7.5
Grid,7.5
Soulmate,7.5
H.I.T,7.5
One Sunny Day,7.5
Afraid Of,7.5
The King's Face,7.5
Hush,7.5
Dok Go Bin Is Updating,7.5
May Queen,7.5
Devil Inspector Season 2,7.5
Lovers,7.5
Naeil's Cantabile,7.5
The [email protected],7.5
Love Scene Number,7.5
Three Brothers,7.5
Hide and Seek,7.5
"Maybe, Maybe Not",7.5
Hotelier,7.5
Your Imagination Becomes Reality,7.5
Unasked Family,7.5
Hometown,7.5
Wang's Family,7.5
Love Is for Suckers,7.5
Society Obsessed with Love,7.5
Mute,7.5
Happy Ending Romance,7.5
"Good-bye, Mr. Black",7.5
I Picked Up a Star on the Road,7.5
Birth of a Beauty,7.5
Reflection of You,7.5
The Great Merchant,7.5
Golden Rainbow,7.5
Lovers in Bloom,7.5
Glitch,7.5
Graceful Friends,7.5
Romance Talking,7.5
The Fugitive: Plan B,7.5
My Princess,7.5
Heaven's Order,7.5
Rich Family's Son,7.5
Real:Time:Love,7.5
9 Seconds: Eternal Time,7.5
The Liar and His Lover,7.5
The Master of Revenge,7.5
Anniversary Anyway,7.5
Warm and Cozy,7.5
"Smile, Dong Hae",7.5
Alive,7.5
About Time,7.5
Vampire Detective,7.5
Unkind Women,7.5
Gumiho: Tale of the Fox's Child,7.5
Secret Love,7.5
Couple or Trouble,7.5
After the Show Ends,7.5
Miracle,7.5
Banana Actually 2,7.5
Choco Milk Shake,7.5
Wonderful Days,7.5
Peach of Time,7.5
First Love Story Season 2,7.5
The Iron Empress,7.5
Summer Guys,7.5
My Sweet Dear,7.5
Once Upon a Time in Saengchori,7.5
Lie to Me,7.5
Brilliant Heritage,7.5
Banana Actually,7.4
"Nevertheless,",7.4
Sweet 18,7.4
Fates & Furies,7.4
Back to the 2008,7.4
The Time We Were Not in Love,7.4
